w,1,2,3,4,5,6,7,8,9
62.0,"15,365.34","21,381.44","25,486.65","25,209.01","26,205.63","26,561.27","38,664.19","46,879.42","25,403.93"
63.0,"15,613.16","21,726.31","25,897.73","25,615.61","26,628.30","26,989.67","39,287.81","47,635.54","25,813.67"
64.0,"15,860.99","22,071.17","26,308.80","26,022.21","27,050.98","27,418.08","39,911.42","48,391.66","26,223.41"
65.0,"16,108.82","22,416.03","26,719.88","26,428.81","27,473.65","27,846.49","40,535.04","49,147.78","26,633.15"
66.0,"16,356.65","22,760.89","27,130.95","26,835.40","27,896.32","28,274.90","41,158.66","49,903.90","27,042.89"
67.0,"16,604.48","23,105.75","27,542.03","27,242.00","28,318.99","28,703.30","41,782.27","50,660.02","27,452.63"
68.0,"16,852.30","23,450.62","27,953.10","27,648.60","28,741.66","29,131.71","42,405.89","51,416.14","27,862.37"
69.0,"17,100.13","23,795.48","28,364.18","28,055.19","29,164.33","29,560.12","43,029.50","52,172.26","28,272.12"
70.0,"17,347.96","24,140.34","28,775.25","28,461.79","29,587.01","29,988.53","43,653.12","52,928.38","28,681.86"
71-99 (per kg),247.83,344.86,411.08,406.60,422.67,428.41,623.62,756.12,409.74
71-100 (per kg),226.65,303.11,405.06,396.18,411.66,423.17,523.02,645.43,404.37
71-101 (per kg),226.65,303.11,405.06,396.18,411.66,423.17,523.02,645.43,404.37
71-102 (per kg),226.65,303.11,405.06,396.18,411.66,423.17,523.02,645.43,404.37
71-103 (per kg),226.65,303.11,405.06,396.18,411.66,423.17,523.02,645.43,404.37
